StartDate,EndDate,RecordedDate,ResponseId,Init,Title,id,answer,clean_answer,fullquestion,abbr,Group,ESnum,qnum,ES,survey_order,flag_noResponse,flag_noDriver,flag_noDirection,FirstAuthor,PublicationYear,SourcePublication
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.1_8_1,soil enzyme levels,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - Response 1: Separate by commas",Response,,8,Q12,SoilProtect,73,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.1_15_1,resilience,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Maintenance of options [e.g. benefits (including those of future generation... - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes] - Response 1: Separate by commas",Response,,15,Q12,MaintainOpts,87,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.2_8,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Env,8,Q12,SoilProtect,98,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.2_15,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Driver,Env,15,Q12,MaintainOpts,105,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.3_8,,Management Practices,"Q12: Which Ecosystem Services were considered?  - Human Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Anthro,8,Q12,SoilProtect,114,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.3_15,,Management Practices,"Q12: Which Ecosystem Services were considered?  - Human Driver - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Driver,Anthro,15,Q12,MaintainOpts,121,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.4_8,,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Bio,8,Q12,SoilProtect,130,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.4_15,,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Driver,Bio,15,Q12,MaintainOpts,137,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.5_8,ES,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Yclass,,8,Q12,SoilProtect,146,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.5_15,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Yclass,,15,Q12,MaintainOpts,153,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.6_8,,,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",EffectDirect,Env,8,Q12,SoilProtect,162,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.6_15,,,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",EffectDirect,Env,15,Q12,MaintainOpts,169,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.7_8,,Mixed,"Q12: Which Ecosystem Services were considered?  - Direction of Human Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",EffectDirect,Anthro,8,Q12,SoilProtect,178,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
2020-04-10T10:55:39Z,2020-04-10T12:01:15Z,2020-04-10T12:01:15Z,R_21BMgTOWkP6cBkH,TK,Belowground response of prairie restoration and resiliency to drought,Q25.7_15,,Mixed,"Q12: Which Ecosystem Services were considered?  - Direction of Human Driver Relationship - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",EffectDirect,Anthro,15,Q12,MaintainOpts,185,FALSE,TRUE,TRUE,Upton,2018,AGRICULTURE ECOSYSTEMS & ENVIRONMENT
